x,y,Ordre
11891,49425,3852
34739,23058,50076
34739,26935,50076
21220,18442,5564
21220,31551,5564
48856,26534,50076
48856,23459,50076
43163,16198,12519
43163,33795,12519
593,40655,4173
593,9338,4173
28471,1049,50076
28471,48944,50076
29077,24810,214
29077,25183,214
9145,19795,1926
9145,30198,1926
30241,49671,2782
30241,322,2782
27467,33731,321
27467,16262,321
8343,7153,50076
8343,42840,50076
46814,22700,50076
46814,27293,50076
36491,43729,4173
36491,6264,4173
12683,22672,12519
12683,27321,12519
17828,18506,642
17828,31487,642
27310,14390,2782
27310,35603,2782
33995,36788,25038
33995,13205,25038
46570,42882,50076
46570,7111,50076
34748,23613,16692
34748,26380,16692
8846,46525,16692
8846,3468,16692
36151,32544,25038
36151,17449,25038
9636,34894,25038
9636,15099,25038
5064,10162,16692
5064,39831,16692
25752,14418,8346
25752,35575,8346
12389,40130,16692
12389,9863,16692
6022,20530,5564
6022,29463,5564
28884,623,50076
28884,49370,50076
33246,24790,50076
33246,25203,50076
13983,30502,50076
13983,19491,50076
33830,36634,5564
33830,13359,5564
16313,33168,12519
16313,16825,12519
10765,6109,50076
10765,43884,50076
45204,8168,12519
45204,41825,12519
39554,30058,16692
39554,19935,16692
3615,34913,25038
3615,15080,25038
47372,25500,25038
47372,24493,25038
44826,42544,963
44826,7449,963
17908,38202,25038
17908,11791,25038
13736,30856,12519
13736,19137,12519
38657,17773,50076
38657,32220,50076
40803,27682,12519
40803,22311,12519
37998,15696,50076
37998,34297,50076
26936,32150,50076
26936,17843,50076
14734,3957,8346
14734,46036,8346
39017,9956,50076
39017,40037,50076
30598,38194,12519
30598,11799,12519
36063,45399,5564
36063,4594,5564
30938,31273,2782
30938,18720,2782
37190,39569,963
37190,10424,963
334,19261,50076
334,30732,50076
29436,8730,50076
29436,41263,50076
45842,31001,1391
45842,18992,1391
14208,45947,12519
14208,4046,12519
3821,30549,25038
3821,19444,25038
5144,1146,25038
5144,48847,25038
15382,23320,16692
15382,26673,16692
15501,18922,1391
15501,31071,1391
18387,2,16692
18387,49991,16692
16401,40461,12519
16401,9532,12519
11827,10667,50076
11827,39326,50076
45121,17307,25038
45121,32686,25038
32597,34593,50076
32597,15400,50076
3862,24536,8346
3862,25457,8346
19542,44617,50076
19542,5376,50076
47476,8376,50076
47476,41617,50076
7402,13833,50076
7402,36160,50076
40613,5469,1391
40613,44524,1391
20100,13966,50076
20100,36027,50076
7306,12746,4173
7306,37247,4173
6806,43590,12519
6806,6403,12519
14419,49772,50076
14419,221,50076
11753,37318,50076
11753,12675,50076
41132,10756,16692
41132,39237,16692
46978,37964,16692
46978,12029,16692
11875,21598,5564
11875,28395,5564
23960,31956,963
23960,18037,963
41473,3646,12519
41473,46347,12519
2825,38514,12519
2825,11479,12519
7716,388,50076
7716,49605,50076
25999,22442,25038
25999,27551,25038
42098,13056,50076
42098,36937,50076
11093,16603,25038
11093,33390,25038
28839,37235,12519
28839,12758,12519
1948,24526,50076
1948,25467,50076
22297,19399,2782
22297,30594,2782
31477,5728,12519
31477,44265,12519
6251,33960,50076
6251,16033,50076
18234,2290,50076
18234,47703,50076
10317,14578,50076
10317,35415,50076
33704,29308,50076
33704,20685,50076
3487,49376,25038
3487,617,25038
21218,48450,50076
21218,1543,50076
1082,13286,50076
1082,36707,50076
17640,43936,4173
17640,6057,4173
42480,48143,5564
42480,1850,5564
23125,43428,12519
23125,6565,12519
5542,6877,16692
5542,43116,16692
8109,24456,16692
8109,25537,16692
32462,32240,12519
32462,17753,12519
15376,39511,16692
15376,10482,16692
4744,36491,963
4744,13502,963
1632,32416,16692
1632,17577,16692
12479,11498,50076
12479,38495,50076
32144,10866,8346
32144,39127,8346
45860,39859,50076
45860,10134,50076
29163,28349,25038
29163,21644,25038
27558,5595,4173
27558,44398,4173
48361,42982,16692
48361,7011,16692
30371,49332,8346
30371,661,8346
17397,44208,25038
17397,5785,25038
34540,42961,25038
34540,7032,25038
3074,6083,25038
3074,43910,25038
33371,49290,50076
33371,703,50076
21024,1779,25038
21024,48214,25038
48476,17090,428
48476,32903,428
40162,2623,16692
40162,47370,16692
27573,20467,8346
27573,29526,8346
9133,13762,50076
9133,36231,50076
7621,39513,50076
7621,10480,50076
30158,28396,4173
30158,21597,4173
20037,32,12519
20037,49961,12519
46986,28946,12519
46986,21047,12519
14477,29598,4173
14477,20395,4173
8097,28367,12519
8097,21626,12519
48576,7371,25038
48576,42622,25038
27596,41209,50076
27596,8784,50076
28242,47505,50076
28242,2488,50076
9903,9241,3852
9903,40752,3852
4125,22531,12519
4125,27462,12519
14524,12623,8346
14524,37370,8346
37788,21371,25038
37788,28622,25038
22600,2614,8346
22600,47379,8346
32245,15942,8346
32245,34051,8346
22564,27389,1391
22564,22604,1391
24961,47707,50076
24961,2286,50076
3274,9195,5564
3274,40798,5564
49299,24725,16692
49299,25268,16692
42073,26235,2782
42073,23758,2782
34350,22203,50076
34350,27790,50076
5015,43618,12519
5015,6375,12519
36074,36907,50076
36074,13086,50076
10005,37828,12519
10005,12165,12519
729,27210,50076
729,22783,50076
10470,41848,12519
10470,8145,12519
14314,26372,3852
14314,23621,3852
43473,17931,963
43473,32062,963
36105,31539,50076
36105,18454,50076
42090,36184,50076
42090,13809,50076
6630,34905,25038
6630,15088,25038
2865,27006,25038
2865,22987,25038
9570,749,25038
9570,49244,25038
26130,27514,39
26130,22479,39
48949,21908,2782
48949,28085,2782
38762,35382,12519
38762,14611,12519
46444,39453,50076
46444,10540,50076
42043,1159,1391
42043,48834,1391
1906,22421,25038
1906,27572,25038
27578,36625,321
27578,13368,321
681,20643,50076
681,29350,50076
12770,27530,8346
12770,22463,8346
1125,39007,16692
1125,10986,16692
13339,31687,12519
13339,18306,12519
24174,24530,50076
24174,25463,50076
24125,23088,5564
24125,26905,5564
44321,8442,25038
44321,41551,25038
19218,27219,12519
19218,22774,12519
6345,49393,50076
6345,600,50076
34952,13122,50076
34952,36871,50076
22772,9384,12519
22772,40609,12519
46886,39456,50076
46886,10537,50076
5563,35591,12519
5563,14402,12519
29572,36504,25038
29572,13489,25038
13930,10845,50076
13930,39148,50076
6096,5401,3852
6096,44592,3852
25553,19468,2782
25553,30525,2782
14352,42572,16692
14352,7421,16692
32022,16102,25038
32022,33891,25038
19812,39432,50076
19812,10561,50076
45091,31929,16692
45091,18064,16692
33834,22228,12519
33834,27765,12519
24698,32572,12519
24698,17421,12519
46333,6571,16692
46333,43422,16692
17377,12498,12519
17377,37495,12519
6402,17240,321
6402,32753,321
16471,7395,50076
16471,42598,50076
10631,23284,50076
10631,26709,50076
11582,39774,12519
11582,10219,12519
19940,48216,25038
19940,1777,25038
46768,4140,3852
46768,45853,3852
22768,41301,50076
22768,8692,50076
1368,20787,3852
1368,29206,3852
4566,35332,25038
4566,14661,25038
43321,18956,50076
43321,31037,50076
24683,48254,50076
24683,1739,50076
11188,34241,12519
11188,15752,12519
6122,6509,4173
6122,43484,4173
44345,43419,4173
44345,6574,4173
25017,39250,16692
25017,10743,16692
21076,28389,5564
21076,21604,5564
45843,19467,50076
45843,30526,50076
28128,31282,12519
28128,18711,12519
35131,11904,25038
35131,38089,25038
40615,24585,12519
40615,25408,12519
27528,16390,50076
27528,33603,50076
47777,49196,50076
47777,797,50076
24689,7640,16692
24689,42353,16692
42982,49717,50076
42982,276,50076
28612,3699,12519
28612,46294,12519
9156,32327,50076
9156,17666,50076
46954,16374,4173
